customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
AA-10315,185,5,5563.56,1,1,4,114,Cant Lose Them
AA-10375,20,9,1056.39,4,4,1,441,Loyal Customers
AA-10480,260,4,1790.51,1,1,2,112,Lost / Inactive
AA-10645,56,6,5086.93,3,2,4,324,Loyal Customers
AB-10015,416,3,886.15,1,1,1,111,Lost / Inactive
AB-10060,55,8,7755.63,3,3,4,334,Champions
AB-10105,42,10,14473.56,3,4,4,344,Champions
AB-10150,42,5,966.71,3,1,1,311,Recent Customers
AB-10165,26,8,1113.85,4,3,1,431,Loyal Customers
AB-10255,167,9,914.53,2,4,1,241,At Risk
AB-10600,51,4,1515.86,3,1,2,312,Recent Customers
AC-10420,233,3,925.8,1,1,1,111,Lost / Inactive
AC-10450,12,7,5527.85,4,3,4,434,Champions
AC-10615,7,5,2537.69,4,1,3,413,Recent Customers
AC-10660,283,5,657.31,1,1,1,111,Lost / Inactive
AD-10180,30,8,6106.88,4,3,4,434,Champions
AF-10870,42,7,2052.91,3,3,2,332,Loyal Customers
AF-10885,416,4,861.56,1,1,1,111,Lost / Inactive
AG-10270,279,5,2582.9,1,2,3,123,Cant Lose Them
AG-10300,119,4,367.55,2,1,1,211,Lost / Inactive
AG-10330,9,5,660.97,4,2,1,421,Loyal Customers
AG-10390,115,5,200.95,2,2,1,221,Lost / Inactive
AG-10495,79,8,2356.86,2,3,3,233,At Risk
AG-10525,846,4,1455.04,1,1,2,112,Lost / Inactive
AG-10675,98,7,3489.06,2,3,3,233,At Risk
AG-10765,78,4,170.59,2,1,1,211,Lost / Inactive
AG-10900,97,10,4510.79,2,4,4,244,At Risk
AH-10030,13,7,1744.7,4,3,2,432,Loyal Customers
AH-10075,35,10,3250.35,3,4,3,343,Champions
AH-10120,61,7,1735.53,3,3,2,332,Loyal Customers
AH-10195,56,4,1587.45,3,1,2,312,Recent Customers
AH-10210,7,9,4805.35,4,4,4,444,Champions
AH-10465,231,5,2495.4,1,2,3,123,Cant Lose Them
AH-10585,22,4,738.5,4,1,1,411,Recent Customers
AH-10690,411,12,7888.3,1,4,4,144,At Risk
AI-10855,14,10,4375.79,4,4,4,444,Champions
AJ-10780,76,7,4867.34,3,3,4,334,Champions
AJ-10795,167,7,4501.38,2,3,4,234,At Risk
AJ-10945,86,7,1839.24,2,3,2,232,At Risk
AJ-10960,75,3,629.25,3,1,1,311,Recent Customers
AM-10360,29,5,814.01,4,2,1,421,Loyal Customers
AM-10705,163,8,5664.02,2,3,4,234,At Risk
AO-10810,502,1,161.28,1,1,1,111,Lost / Inactive
AP-10720,42,8,1638.55,3,3,2,332,Loyal Customers
AP-10915,99,10,3323.55,2,4,3,243,At Risk
AR-10345,112,4,1055.69,2,1,1,211,Lost / Inactive
AR-10405,126,5,2236.12,2,2,2,222,Lost / Inactive
AR-10510,15,5,264.87,4,2,1,421,Loyal Customers
AR-10540,7,6,6608.45,4,2,4,424,Loyal Customers
AR-10570,535,1,88.15,1,1,1,111,Lost / Inactive
AR-10825,59,8,4523.33,3,3,4,334,Champions
AS-10045,89,7,3050.69,2,3,3,233,At Risk
AS-10090,29,9,3255.3,4,4,3,443,Champions
AS-10135,42,2,58.82,3,1,1,311,Recent Customers
AS-10225,23,5,4260.78,4,2,4,424,Loyal Customers
AS-10240,193,7,584.62,1,3,1,131,At Risk
AS-10285,20,6,3214.24,4,2,3,423,Loyal Customers
AS-10630,93,7,833.41,2,3,1,231,At Risk
AT-10435,22,6,1171.81,4,2,2,422,Loyal Customers
AT-10735,14,10,3831.87,4,4,4,444,Champions
AW-10840,21,4,649.37,4,1,1,411,Recent Customers
AW-10930,47,7,2852.95,3,3,3,333,Champions
AY-10555,15,4,497.02,4,1,1,411,Recent Customers
AZ-10750,161,6,1622.03,2,2,2,222,Lost / Inactive
BB-10990,106,5,744.33,2,2,1,221,Lost / Inactive
BB-11545,29,9,6765.73,4,4,4,444,Champions
BC-11125,203,9,2933.67,1,4,3,143,At Risk
BD-11320,34,12,5718.53,3,4,4,344,Champions
BD-11500,36,6,4411.25,3,2,4,324,Loyal Customers
BD-11560,279,2,320.54,1,1,1,111,Lost / Inactive
BD-11605,98,7,3288.48,2,3,3,233,At Risk
BD-11620,70,6,1538.12,3,2,2,322,Loyal Customers
BD-11635,10,3,582.65,4,1,1,411,Recent Customers
BD-11725,94,6,1526.5,2,2,2,222,Lost / Inactive
BD-11770,328,6,658.46,1,2,1,121,Lost / Inactive
BE-11335,120,5,4204.68,2,2,4,224,Lost / Inactive
BE-11410,99,5,2261.44,2,2,3,223,Lost / Inactive
BE-11455,255,6,1727.65,1,2,2,122,Lost / Inactive
BF-10975,92,7,599.79,2,3,1,231,At Risk
BF-11005,40,4,1333.89,3,1,2,312,Recent Customers
BF-11020,75,8,2888.5,3,3,3,333,Champions
BF-11080,26,3,272.95,4,1,1,411,Recent Customers
BF-11170,17,11,5907.97,4,4,4,444,Champions
BF-11215,66,4,1585.17,3,1,2,312,Recent Customers
BF-11275,58,3,791.99,3,1,1,311,Recent Customers
BG-11035,29,8,2798.96,4,3,3,433,Champions
BG-11695,37,6,1874.18,3,2,2,322,Loyal Customers
BG-11740,58,6,1006.35,3,2,1,321,Loyal Customers
BH-11710,24,8,6255.33,4,3,4,434,Champions
BK-11260,78,6,659.15,2,2,1,221,Lost / Inactive
BM-11140,308,4,11789.64,1,1,4,114,Cant Lose Them
BM-11575,101,6,808.16,2,2,1,221,Lost / Inactive
BM-11650,34,11,7294.18,3,4,4,344,Champions
BM-11785,219,10,1338.82,1,4,2,142,At Risk
BN-11470,25,4,265.31,4,1,1,411,Recent Customers
BN-11515,10,5,1459.34,4,2,2,422,Loyal Customers
BO-11350,138,5,2682.73,2,2,3,223,Lost / Inactive
BO-11425,76,2,130.83,3,1,1,311,Recent Customers
BP-11050,84,5,983.42,2,2,1,221,Lost / Inactive
BP-11095,18,12,2442.05,4,4,3,443,Champions
BP-11155,90,6,1697.87,2,2,2,222,Lost / Inactive
BP-11185,2,9,3675.86,4,4,3,443,Champions
BP-11230,40,5,1181.49,3,2,2,322,Loyal Customers
BP-11290,13,7,2475.16,4,3,3,433,Champions
BS-11365,559,5,10501.65,1,2,4,124,Cant Lose Them
BS-11380,29,5,3887.82,4,2,4,424,Loyal Customers
BS-11590,36,6,2454.93,3,2,3,323,Loyal Customers
BS-11665,583,3,3288.12,1,1,3,113,Cant Lose Them
BS-11755,2,7,2562.38,4,3,3,433,Champions
BS-11800,266,2,949.43,1,1,1,111,Lost / Inactive
BT-11305,337,5,2567.66,1,2,3,123,Cant Lose Them
BT-11395,303,6,2186.61,1,2,2,122,Lost / Inactive
BT-11440,561,4,603.87,1,1,1,111,Lost / Inactive
BT-11485,660,2,415.2,1,1,1,111,Lost / Inactive
BT-11530,92,5,2684.5,2,2,3,223,Lost / Inactive
BT-11680,21,7,3196.75,4,3,3,433,Champions
BV-11245,335,5,1523.28,1,2,2,122,Lost / Inactive
BW-11065,213,3,385.51,1,1,1,111,Lost / Inactive
BW-11110,122,8,4750.36,2,3,4,234,At Risk
BW-11200,204,6,1738.41,1,2,2,122,Lost / Inactive
CA-11965,97,6,3789.72,2,2,4,224,Lost / Inactive
CA-12055,402,5,1679.72,1,2,2,122,Lost / Inactive
CA-12265,57,9,2648.29,3,4,3,343,Champions
CA-12310,14,4,1421.96,4,1,2,412,Recent Customers
CA-12775,121,7,3041.56,2,3,3,233,At Risk
CB-12025,48,10,6076.14,3,4,4,344,Champions
CB-12415,27,8,1949.21,4,3,2,432,Loyal Customers
CB-12535,198,8,4246.46,1,3,4,134,At Risk
CC-12100,458,6,1770.95,1,2,2,122,Lost / Inactive
CC-12145,107,7,2471.65,2,3,3,233,At Risk
CC-12220,21,12,3913.43,4,4,4,444,Champions
CC-12370,44,5,12129.08,3,2,4,324,Loyal Customers
CC-12430,1,10,2870.05,4,4,3,443,Champions
CC-12475,40,9,1659.45,3,4,2,342,Loyal Customers
CC-12550,28,3,113.84,4,1,1,411,Recent Customers
CC-12610,35,7,2540.63,3,3,3,333,Champions
CC-12670,30,7,2269.69,4,3,3,433,Champions
CC-12685,800,4,2854.11,1,1,3,113,Cant Lose Them
CD-11920,41,5,2033.97,3,2,2,322,Loyal Customers
CD-11980,55,3,639.76,3,1,1,311,Recent Customers
CD-12280,43,2,1205.58,3,1,2,312,Recent Customers
CD-12790,400,5,1860.74,1,2,2,122,Lost / Inactive
CG-12040,50,6,904.48,3,2,1,321,Loyal Customers
CG-12520,339,3,1148.78,1,1,2,112,Lost / Inactive
CH-12070,692,3,1537.24,1,1,2,112,Lost / Inactive
CJ-11875,366,1,16.52,1,1,1,111,Lost / Inactive
